matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
24 Jan 2021 14:00,Saarbrucken,Lubeck,2.0,3.4,3.71,0-0,2020-2021
Unknown 13:00,Munich 1860,Meppen,1.72,3.71,4.77,1-1,2020-2021
23 Jan 2021 14:00,SG Dynamo Dresden,Kaiserslautern,2.42,3.22,3.02,4-3,2020-2021
Unknown 14:00,Duisburg,Hansa Rostock,4.57,3.54,1.78,1-2,2020-2021
Unknown 14:00,Viktoria Koln,Mannheim,2.31,3.48,2.92,1-2,2020-2021
Unknown 14:00,Hallescher,Magdeburg,2.51,3.34,2.74,1-0,2020-2021
Unknown 14:00,Unterhaching,Zwickau,2.43,3.16,3.01,1-2,2020-2021
Unknown 14:00,Verl,Wehen,2.25,3.47,3.06,2-2,2020-2021
22 Jan 2021 19:00,Turkgucu Munchen,Bayern II,2.93,3.48,2.3,0-0,2020-2021
20 Jan 2021 19:00,Duisburg,Magdeburg,2.9,3.29,2.46,1-2,2020-2021
Unknown 19:00,Hallescher,Mannheim,2.36,3.32,3.01,0-0,2020-2021
19 Jan 2021 19:00,Turkgucu Munchen,Unterhaching,2.24,3.44,3.15,0-0,2020-2021
Unknown 19:00,Verl,Zwickau,2.07,3.49,3.45,1-1,2020-2021
18 Jan 2021 19:00,Munich 1860,Ingolstadt,2.64,3.19,2.72,1-0,2020-2021
17 Jan 2021 14:00,Duisburg,Meppen,2.37,3.35,2.97,1-0,2020-2021
Unknown 13:00,Uerdingen,Mannheim,2.15,3.38,3.38,1-1,2020-2021
16 Jan 2021 14:00,Hallescher,Bayern II,2.47,3.2,2.94,0-4,2020-2021
Unknown 14:00,Unterhaching,Magdeburg,2.09,3.37,3.55,0-2,2020-2021
Unknown 14:00,Verl,Kaiserslautern,2.31,3.38,3.03,1-1,2020-2021
15 Jan 2021 19:00,Viktoria Koln,Turkgucu Munchen,2.43,3.47,2.81,0-2,2020-2021
13 Jan 2021 19:00,Lubeck,Mannheim,2.48,3.51,2.7,0-1,2020-2021
Unknown 19:00,Zwickau,Ingolstadt,3.57,3.33,2.11,0-2,2020-2021
12 Jan 2021 19:00,Bayern II,Meppen,2.03,3.52,3.57,2-0,2020-2021
Unknown 19:00,Magdeburg,Saarbrucken,3.13,3.34,2.26,1-2,2020-2021
Unknown 19:00,Unterhaching,Verl,2.42,3.38,2.86,3-4,2020-2021
11 Jan 2021 19:00,Turkgucu Munchen,SG Dynamo Dresden,2.81,3.37,2.49,1-0,2020-2021
10 Jan 2021 14:00,Zwickau,Lubeck,2.49,3.14,2.99,2-1,2020-2021
Unknown 13:00,Ingolstadt,Duisburg,1.63,3.86,5.36,2-1,2020-2021
09 Jan 2021 14:00,Bayern II,Munich 1860,2.69,3.49,2.51,0-2,2020-2021
Unknown 14:00,Hansa Rostock,Unterhaching,2.13,3.14,3.72,1-0,2020-2021
Unknown 14:00,Kaiserslautern,Viktoria Koln,2.06,3.47,3.53,0-0,2020-2021
Unknown 14:00,Magdeburg,Uerdingen,3.07,3.2,2.38,1-1,2020-2021
